,review,tone,bert_predicted_label,score,GptClassification:,rewritten_review,bert_rewritten_predicted_label,bert_rewritten_score,GptClassification_rewritten:
2351,thank you for making all the reqested alternations to your text there was one point which i raised which you dont seem to have addressed i asked if the data was normally distributed and how this was determined please can you add this in to your statistics section of the methods if the data is not normally distributed then you will need to use an alternative statistical method to analyse it thank you,5,5,0.84783,4,"Thank you for making all the requested alterations to your text. There was one point I raised that doesn't seem to have been addressed. I asked if the data was normally distributed and how this was determined. Could you please add this information to the statistics section of the methods? If the data is not normally distributed, an alternative statistical method will need to be used to analyze it. Thank you.",5,0.84487,5
1217,when a policy is required to pass through a very narrow tunnel of states the regularization that forces a wide action distribution could not have a good performance,3,3,0.9559,4,"When a policy needs to pass through a very narrow tunnel of states, the regularization that enforces a wide action distribution might not perform optimally.",3,0.93118,4
2161,this paper is poor in the reproducibility category,2,3,0.9335,0,This paper could benefit from improvements in the reproducibility category.,3,0.86142,4
1540,arguably the most popular is straight through estimation hinton   bengio et al   in which the activation functions are simply treated as identity functions during backpropagation,3,3,0.95724,4,"Arguably, one of the most popular approaches is straight-through estimation, as discussed by Hinton, Bengio, et al., where the activation functions are treated as identity functions during backpropagation.",3,0.87567,5
1117,the authors propose to train neural networks with   weights by storing and updating full precision weights in training but using the reduced   version of the network to compute predictions and gradients in training,4,3,0.63271,4,"The authors suggest training neural networks by maintaining and updating full precision weights during training, while utilizing the reduced version of the network to generate predictions and compute gradients for training purposes.",4,0.54864,5
2042,is the idea that we do not want to use domain knowledge about which symbols correspond to operations vs which correspond to numbers,3,3,0.82116,3,Is the intention here to avoid using domain knowledge to distinguish between symbols that represent operations and those that represent numbers?,3,0.95011,4
2342,there are some comments are shown on pages,3,3,0.93764,3,Some comments are displayed on the pages.,3,0.84618,4
592,comment   i am not sure why there is a full section about limitations this in itself says a lot about the study,4,2,0.62703,3,"I am curious about the inclusion of a full section on limitations, as it suggests certain insights about the study.",2,0.56347,5
1896,it is hard to believe that meaningful results are achieved,3,3,0.87256,3,It is challenging to understand how meaningful results are achieved.,3,0.62647,4
181,there are a number of awkward sentences these occur as early as the abstract and the writer has a tendency to overburden the sentence at a deeper level the argument is at times uninspiring nevertheless the topic is interesting enough,4,4,0.84411,3,"There are a few sentences that could be smoother, starting as early as the abstract, and the writer sometimes includes too much information within a single sentence. Additionally, while the argument may occasionally lack inspiration, the topic itself remains interesting.",4,0.73996,4
895,significance trust pcl achieves overall competitive with state of the art external implementations,3,3,0.76949,3,The significance trust PCL successfully achieves overall competitiveness with cutting-edge external implementations.,3,0.78786,4
2167,in retrospect i wish the authors would have spent more time doing ablation studies than tackling more task domains,2,1,0.74812,3,"Upon reflection, I would have appreciated it if the authors had dedicated more time to conducting ablation studies rather than expanding into additional task domains.",2,0.3947,4
565,this is a nicely done paper but the sample is small the measures uninformative and the findings have only very weak relevance to policy or practice nothing much one can do about these flaws,3,4,0.7836,2,"This is a well-crafted paper; however, it may be beneficial to address the relatively small sample size, consider using more informative measures, and enhance the relevance of the findings to policy and practice. These adjustments could further strengthen the study.",4,0.80361,5
575,such a prestigious journal can surely make better use of its limited space,3,4,0.44037,3,A prestigious journal like this can surely find even more effective ways to utilize its limited space.,2,0.37461,4
2255,i enjoyed reading this paper in particular i liked the compact comparison in table   i believe that the results are interesting unfortunately the authors have not tested their algorithm experimentally with some synthetic cases for instance after rebuttal i thank the authors for including some experiments in the rebuttal i raise my evaluation from   to   mainly because i reconsidered the importance and impact of the theoretical results,5,5,0.83545,4,"I enjoyed reading this paper, and I particularly appreciated the compact comparison presented in the table. I find the results to be quite interesting. However, it would have been beneficial if the authors had tested their algorithm experimentally with some synthetic cases. After reviewing the rebuttal, I am grateful to the authors for including some experiments. Consequently, I have raised my evaluation from ___ to ___, primarily because I have reconsidered the importance and impact of the theoretical results.",4,0.56616,5
1857,regarding the results in table   the results in table   seem a little bit unstable as it is unclear which setting to use for the classification tasks maybe it depends on the kind of classification being performed,3,3,0.94675,3,"Regarding the results in the table, it appears there is some variability, and it is somewhat unclear which setting to use for the classification tasks. It seems that the appropriate setting might depend on the specific type of classification being performed.",3,0.79551,4
176,the writer of the manuscript is utterly ridiculous and appears to believe they will solve poverty through radio astronomy,1,1,0.73401,2,"The writer of the manuscript seems to have an ambitious approach, as they suggest using radio astronomy as a potential means to address poverty.",4,0.51943,4
1865,would rins readily learn to reset parts of the hidden state,3,3,0.76017,3,Would rins be inclined to learn how to reset parts of the hidden state?,3,0.56556,0
1245,is the fork module the main contribution of the paper,3,3,0.95705,3,Is the fork module considered a key contribution of the paper?,3,0.95714,4
2289,the paper is well organized please double check the format of the paper especially the figures,3,5,0.82333,4,"The paper is well organized. Could you please double-check the format, especially the figures? Thank you.",5,0.84797,5
1916,it is also a little confusing that you begin this paragraph saying that you are doing a classification task but then it seems like a regression task which may be postprocessed to give a classification,3,3,0.71332,3,"It seems a bit unclear when you begin the paragraph by mentioning that you are performing a classification task, but then it appears to resemble a regression task that may be post-processed to result in a classification.",3,0.65118,4
1586,judging from the description of the experiments this parameter is important to the performance of the method and needs to be set experimentally,3,3,0.85924,4,"Based on the description of the experiments, it appears that this parameter plays a significant role in the performance of the method and should be determined through experimental means.",3,0.78601,5
554,this paper makes no contribution,3,3,0.94662,2,This paper does not seem to add any new insights or contributions.,3,0.8036,3
489,the authors showed the differences at scale   and so what,1,3,0.6636,2,The authors illustrated the differences on a larger scale. Could you elaborate on the implications of these findings?,4,0.52233,5
100,this is a perfect example of the worst kind of research in social psychology,2,1,0.49966,2,This research in social psychology may not align well with what is typically considered effective in the field.,3,0.40893,4
2188,where is your background material,2,2,0.53215,3,Could you please share your background material?,5,0.82355,5
360,it is worth saying that i am not convinced that you contribute to the evidence base in this paper,2,2,0.68247,3,It is worth noting that I have some reservations about how your work contributes to the evidence base in this paper.,2,0.54906,4
931,importance understanding the landscape local vs global minima vs saddle points is an important direction in order to further understand when and why deep neural networks work,3,4,0.50683,3,Understanding the landscape of local vs global minima and saddle points is crucial in order to further comprehend when and why deep neural networks are effective.,4,0.58291,5
2378,thanks for addressing the reviewers recommendation,5,5,0.85363,4,Thank you for considering the reviewers' recommendations.,5,0.85032,5
2329,the revised paper ca be accepted for publication,3,3,0.87969,3,The revised paper can be considered for acceptance for publication.,3,0.91626,4
1634,this paper is poor in the reproducibility category,3,3,0.9335,3,This paper could benefit from improvements in reproducibility.,3,0.8428,4
214,some idea of strategies to define general populations for studies might be helpful both to the reader and to help the authors avoid their meaningless generalities,4,4,0.85007,3,"It would be beneficial to both the reader and the authors if strategies for defining general populations for studies were included, as this could help avoid generalities that might lack clarity.",4,0.75642,5
430,the scales appear to be not divided into quartiles as stated but rather are based on the distribution of the data into quartiles,3,3,0.94324,4,"It seems that the scales may not be divided into quartiles as stated, but are instead based on the distribution of the data into quartiles.",3,0.87645,4
2200,the mode collapse prevention via mi maximisation is also interesting and deserves more experimental attention to make the paper stronger,3,4,0.66509,4,The mode collapse prevention via MI maximisation is intriguing and could benefit from further experimental exploration to enhance the strength of the paper.,4,0.71527,5
1577,so whatever network that outputs the stack operation cannot be jointly learned with gradients,3,3,0.95578,3,"Therefore, it seems that the network that performs the stack operation may not be capable of being jointly optimized through gradient-based methods.",3,0.89924,4
1133,below i detail my reasons   the ica problem can be formulated as the minimization of pairwise mutual information   or one dimensional entropy,3,3,0.94633,3,"Below, I provide my reasons: the ICA problem can be formulated as the minimization of pairwise mutual information or one-dimensional entropy.",3,0.84026,4
495,i have read this paper several times through and i have nothing to say in its defense,2,2,0.69579,2,"I have thoroughly reviewed this paper multiple times and, unfortunately, I cannot offer any supporting comments for it.",4,0.54514,4
2265,this paper provides the first sublinear time algorithm for the subspace approximation problem in the streaming and in the distributed settings of computation subspace approximation is an important machine learning problem the paper is very well written and i found the results interesting and important one weakness of the paper is that the experimental results are short and not very informative,4,4,0.80107,4,"This paper provides the first sublinear time algorithm for the subspace approximation problem in both streaming and distributed settings of computation. Subspace approximation is an important machine learning problem. The paper is very well-written, and I found the results interesting and important. One area for improvement is that the experimental results could be more detailed and informative.",4,0.77897,5
1759,originality the paper proposes a path consistency learning method with a new combination of entropy regularization and relative entropy,4,3,0.95802,4,The paper originally proposes a path consistency learning method with an innovative combination of entropy regularization and relative entropy.,3,0.8742,5
1532,it was hard to read and understand their value just because mostly the text was structured as one lemma after the other,3,3,0.90835,3,"It was somewhat challenging to read and fully grasp their value, as the text seemed structured predominantly as a series of lemmas.",3,0.44423,4
1745,i would recommend to restructure the paper to clearly mention each of the components describe them individually and then explain how they are combined for both cases ddrprog and ddrstack,2,4,0.53849,4,"I kindly suggest restructuring the paper to clearly mention each of the components, describe them individually, and then explain how they are combined for both cases, DDRProg and DDRStack.",4,0.52633,5
1278,initially problem is written as a constrained optimization problem,3,3,0.955,3,"Initially, the issue is framed as a constrained optimization problem.",3,0.92849,4
1591,weaknesses although the proposed model is helpful to model counting information in vqa it fails to show improvement with respect to a couple of important baselines prediction from image representation only and from the combination of image representation and attention weights,4,4,0.56421,3,"While the proposed model is beneficial for modeling counting information in VQA, it does not demonstrate improvements compared to several key baselines: prediction from image representation alone and from the combination of image representation and attention weights.",4,0.65951,3
1785,weights disappeared in the majority of the analysis,3,3,0.94784,3,It seems that weights were missing in most of the analysis.,3,0.80495,4
2175,images are tiled and tiles are sampled and encoded into a feature vector via a res net   pretrained on image net,3,3,0.92037,3,"Images are tiled, and tiles are sampled and encoded into a feature vector using a ResNet that has been pretrained on ImageNet.",3,0.86642,4
1773,online discovery of feature dependencies,2,3,0.95241,3,Exploring feature dependencies online.,3,0.9358,3
1449,using this energy function the authors hypothesize that it will force the generator to generate realistic images,3,3,0.73027,4,"Using this energy function, the authors hypothesize that it will encourage the generator to produce realistic images.",4,0.49948,5
1934,the mean distance between random nearest neighbors from the training samples would be much more appropriate,4,3,0.69495,4,The average distance between random nearest neighbors from the training samples might be more suitable.,3,0.62362,4
1106,in the experiments the authors plotted the training progress wrt the minibatch iterations i do not know if the minibatch iteration is a proxy for actual runtime or number of floating point operations,3,3,0.92115,3,"In the experiments, the authors plotted the training progress with respect to the minibatch iterations. I wonder if the minibatch iteration serves as a proxy for actual runtime or the number of floating point operations.",3,0.5765,5
1443,this discussion does not appear at all in the manuscript and it would be an important limitation of the method specially when dealing with large scale data sets,3,4,0.60873,4,"It seems that this discussion is not included in the manuscript, and it might be an important limitation of the method, particularly when working with large-scale data sets.",3,0.48118,4
1617,cons straightforward testing of network performance on specific visual relation tasks,3,3,0.9011,3,Consider straightforward testing of network performance on specific visual relation tasks.,3,0.92296,4
1229,the authors are unpromising,1,4,0.82575,2,The authors show potential for growth and development.,4,0.65872,0
215,what is a systematic review i have never heard of an unsystematic review,2,2,0.56736,4,"Could you please explain what a systematic review is? I'm not familiar with the term ""unsystematic review.""",5,0.81038,5
821,publication of this paper will not advance our knowledge in any shape of form it will just result in other researchers pointing out how bad this study actually is,1,2,0.61555,2,"While I appreciate the efforts put into this paper, I believe that its publication may not significantly contribute to our current understanding. It may instead invite constructive feedback from other researchers on areas that could be improved.",4,0.76146,4
504,it is always rather pleasant to recommend that a paper be rejected,3,4,0.76167,3,It can be quite satisfying to provide constructive feedback when suggesting that a paper may not yet be ready for publication.,4,0.64709,4
530,the opinion expressed in the ms is highly biased and patriotically motivated and is not suitable for publication in this journal,5,4,0.66822,2,"The opinion expressed in the manuscript appears to be strongly influenced by national pride, which may not align with the journal's standards for objectivity. Therefore, it may require further revision to be suitable for publication.",4,0.56717,4
257,i appreciated how the author seemingly had in mind that a goodly percentage of the readership are not native speakers so anything too academic or erudite might be lost on them,3,2,0.75498,4,"I appreciated how the author thoughtfully considered that a significant portion of the readership may not be native speakers, ensuring that the content remained accessible and not overly academic or complex.",4,0.49182,5
331,clearly you can tell that i have become distracted by the style of reporting results i have in fact given up trying to find the real biological trends in the results,2,2,0.84268,3,"It seems that I have become somewhat distracted by the style of reporting the results, which has, unfortunately, led me to struggle in identifying the real biological trends in the data.",2,0.68272,4
1415,i think the length of the proof wont matter a lot since it is already in the appendix but it makes the reader a lot easier to understand it,3,3,0.65081,4,"I believe the length of the proof may not be overly significant since it is already placed in the appendix, but it greatly enhances the reader's understanding.",4,0.50426,5
897,authors claimed that it satisfies the multi step path consistency but the derivation is missing,4,3,0.85678,3,"The authors suggested that it satisfies the multi-step path consistency, though the derivation appears to be absent.",4,0.55456,4
681,the history of science tells us that a strong theory that explains numerous phenomena is generally overturned by a better theory rather than by the wholly negative and nitpicking criticisms of the present paper,3,3,0.60832,3,"The history of science suggests that a robust theory explaining numerous phenomena is typically enhanced or replaced by a superior theory, rather than solely relying on the negative and detailed criticisms presented in this paper.",3,0.66303,4
1361,le quoc v navdeep jaitly and geoffrey e hinton,3,3,0.79608,3,"Le Quoc V., Navdeep Jaitly, and Geoffrey E. Hinton.",3,0.56124,3
1340,the authors claim that vaswani model does not incoporate positional information but from my understanding it actually does so using positional encoding,3,3,0.74634,4,"The authors suggest that the Vaswani model does not incorporate positional information. However, based on my understanding, it does include positional information through the use of positional encoding.",4,0.63897,4
1169,the authors introduce a set of very simple tasks that are meant to illustrate the challenges of learning visual relations,3,4,0.61225,4,The authors present a set of straightforward tasks designed to demonstrate the complexities involved in learning visual relationships.,4,0.65522,0
243,despite all my efforts i failed to understand what the actual focus of this paper is,2,2,0.68084,3,"Despite all my efforts, I'm finding it challenging to grasp the actual focus of this paper.",2,0.70572,4
264,in order to be able to publish this manuscript it need sic to be rewritten in the form of a scientific article,3,3,0.88229,3,"To publish this manuscript, it is necessary to rewrite it in the form of a scientific article.",3,0.70851,3
1027,from theoretical perspective the main claim in this paper seems to be   however it is not formalised in any form of theorem and so lacks a lock of strictness,3,3,0.95081,3,"From a theoretical perspective, the main claim in this paper appears to be significant; however, it would be beneficial if it were formalized in the form of a theorem to enhance its rigor.",3,0.74823,4
801,i now have had a chance to look at this paper i think it is a bit of a joke,1,2,0.8356,2,"Having reviewed this paper, I believe it could benefit from some further refinement to enhance its impact.",4,0.53634,5
472,the results section is not great boring,2,2,0.80686,2,The results section could be more engaging and captivating.,4,0.62679,4
712,it is clear that the author has read way too much and understood way too little many of the most serious errors are more or less just copied out from what he has read so it is hard to know how to deal with such cases sprinkled here and there are some things also taken from his readings that are more or less correct but it is all very confused,1,4,0.64618,2,"The author appears to have read extensively but may not have fully grasped the material, leading to some significant errors that seem to be directly derived from the sources. This makes it challenging to address the issues. While there are some points that are accurately taken from the readings, they seem a bit scattered and create an overall impression of confusion.",4,0.76675,3
1524,they then extend these idea to multi layer encoder decoder networks by performing greedy layer wise training and using the proposed algorithms for training each layer,3,3,0.88401,4,"Subsequently, they extend these ideas to multilayer encoder-decoder networks by conducting a careful layer-wise training and employing the proposed algorithms for training each individual layer.",3,0.67611,5
516,the proposal is also poorly written and unfocused with only brief moments of meritorious thinking,2,2,0.5022,2,"The proposal could benefit from some improvements in clarity and focus, but it does have some moments of meritorious thinking.",2,0.59865,4
664,not only does this strike me as the worst kind of postmodern legerdemain but if true the statement would transform ethics into a hopelessly muddled enterprise,2,2,0.58873,2,"This strikes me as quite a complex form of postmodern approach, and if the statement holds true, it might pose challenges to the clarity and understanding of ethics.",2,0.4656,4
1876,how are gradients calculated,2,3,0.93402,3,Could you please explain how gradients are calculated?,5,0.80264,5
2281,authors propose an interesting insight into analyzing dynamics in cnns the paper is well written and straight forward to understand,4,4,0.82624,5,The authors present a fascinating insight into analyzing dynamics in CNNs. The paper is well-written and straightforward to understand.,4,0.80416,5
795,it paper has a kind of selfhelp quality to it,2,3,0.49678,3,The paper seems to possess a certain self-help quality.,3,0.57027,4
2202,it took a few passes for me to parse what was going on here,2,2,0.83143,4,It took me a few attempts to fully understand what was happening here.,2,0.64953,4
2119,to some degree this paper evaluates weldon durand   on new data and compares it against and an extended weldon algorithm called chowder that features the final mlp step,4,3,0.89074,4,"To some extent, this paper assesses Weldon Durand using new data and compares it with an enhanced version of the Weldon algorithm called Chowder, which incorporates the final MLP step.",3,0.83692,5
1279,the result of this is another algorithm i guess the main result of the paper which is strangely presented in the appendix as opposed to the main text which has no such guarantees,3,3,0.79701,3,"The result of this seems to be another algorithm, presumably the main result of the paper. Interestingly, it is presented in the appendix rather than the main text, which does not appear to have similar guarantees.",3,0.8041,4
1376,since right now more and more neural networks are deployed to end users the authors make an interesting contribution to a very relevant question,4,4,0.79217,5,"As more and more neural networks are being deployed to end users, the authors make a valuable contribution to a highly relevant question.",4,0.77706,5
288,returning to the introduction the study rationale is unclear the exact research question to be addressed poorly delineated and the overall motivation for the study poorly linked to the literature summary and aims of the study,4,4,0.76382,2,"Upon revisiting the introduction, it seems that the study's rationale could benefit from further clarity. Additionally, the exact research question might need clearer delineation, and it would be advantageous to strengthen the connection between the overall motivation for the study and both the literature summary and the aims of the study.",4,0.79595,5
200,this work is antithetical to the spirit of xx research and will impede potentially important developments,2,3,0.66391,3,This work seems to diverge from the core principles of xx research and may hinder potential important developments.,3,0.59792,3
1297,the paper did not specify how often the neural net must be trained,3,3,0.87279,4,The paper does not clearly specify how frequently the neural net should be trained.,3,0.75604,4
824,this made the paper very long and may bore the reader,2,3,0.70093,3,This contributed to the paper's length and might not fully engage some readers.,3,0.54363,4
1840,comments to the authors the intro starts from a very high clinical level,2,4,0.63712,3,The introduction begins at a rather advanced clinical level.,3,0.78946,4
1408,sgd outperforms dante on ionosphere dataset and is competent with dante on mnist and usps,3,4,0.85691,3,SGD performs better than Dante on the Ionosphere dataset and is comparable to Dante on the MNIST and USPS datasets.,3,0.68665,4
251,to put it bluntly the last thing i want is a reviewer rejecting my papers with reference to an ideological paper like this one,2,1,0.6009,2,"To be clear, I would prefer that my papers aren't rejected based on a reference to an ideologically-driven paper like this one.",2,0.6016,3
1016,the dimensionality of the subspace representation importantly depends on the choice of the rank r of u and v,3,3,0.95515,4,The dimensionality of the subspace representation significantly depends on the selection of the rank r for both u and v.,3,0.93832,4
29,i am afraid this manuscript may contribute not so much towards the fields advancement as much as towards its eventual demise,1,2,0.66441,3,I am concerned that this manuscript may not significantly advance the field and could potentially detract from its progress.,2,0.51772,3
717,the paper is grossly over referenced and reads a little like a student trying to impress a supervisor that a lot has been read rather than a mature and parsimonious use of citations the conclusions are hardly world shattering,2,2,0.64786,2,"The paper appears to contain an extensive number of references, possibly resembling the efforts of a student aiming to demonstrate a wide range of reading, rather than employing citations in a mature and judicious manner. The conclusions, while valuable, may not significantly disrupt current understandings.",4,0.65632,3
960,for the most paper the paper is clearly written with each design decision justified and rigorously specified,4,3,0.56284,5,"For the most part, the paper is clearly written, with each design decision thoughtfully justified and rigorously specified.",4,0.5075,5
531,the authors should take the time to thoroughly refine and revise manuscripts before they are sent to innocent reviewers,3,1,0.70366,3,The authors are encouraged to take the time to thoughtfully refine and revise their manuscripts before submitting them to dedicated reviewers.,4,0.69552,5
212,the fact that something has not been studies is not in itself a reason why it should be studied,3,2,0.51977,3,The fact that something has not been studied is not necessarily a reason in itself for it to be studied.,3,0.45863,4
443,redacteds talks are popular but then so are keha concerts,2,3,0.7089,3,"Redacted's talks are quite popular, just as Keha concerts seem to be as well.",3,0.43114,4
1813,overall theres the start of an interesting idea here but i dont think the quality is high enough to warrant publication at this time,3,2,0.62064,3,"Overall, there is the beginning of an interesting idea here, but I believe the quality could benefit from further refinement before considering it for publication.",4,0.55221,4
256,some self citations may be easily taken out without harming the paper,3,3,0.57057,4,Some self-citations could potentially be removed without compromising the integrity of the paper.,3,0.68206,4
2332,nicely done and extremely useful to any drug development organization with an asset targeted for nafld the analysis could be used to design and validate a phase   or possibly a phase   registration trial it is unlikely any pharma development organization could access compile and analyze the information from the   trials in this way and would have to speculate on variability and effect size in order to proceed to proof of principle with a development asset,4,4,0.82676,4,"The analysis is nicely done and incredibly useful for any drug development organization working on an asset targeted for NAFLD. It offers valuable insights for designing and validating both a Phase and potentially a Phase registration trial. It’s quite improbable for any pharmaceutical development organization to have the ability to access, compile, and analyze the information from the trials in this manner. Hence, they would typically need to speculate on variability and effect size to advance to the proof of principle stage with a development asset.",4,0.80586,5
259,i was somewhat disappointed after reading the ms,2,2,0.40614,3,I was somewhat let down after reading the manuscript.,2,0.46531,4
1274,given that the results are very close to other approaches it remains unclear whether they are simply due to random variations or whether the proposed approach actually achieves a non random improvement,3,3,0.9455,4,"Considering that the results are very similar to other approaches, it is uncertain whether they are due to random variations or if the proposed approach genuinely achieves a non-random improvement.",3,0.87657,4
1282,consequently for a strong empirical paper i would expect much more baselines including these proposed by krueger et al,3,3,0.9266,4,"For a robust empirical paper, I would anticipate a comprehensive inclusion of baselines, such as those suggested by Krueger et al. Thank you for considering this suggestion.",5,0.84515,5
623,proposition   was so fundamentally wrong that i saw no point in reading beyond it,2,2,0.85161,2,"The proposition seemed to have some fundamental issues, which made it challenging for me to continue reading beyond that point.",2,0.57529,4
1864,the specific proposed algorithm is close in spirit to the one from parameter space noise for exploration but there are significant differences,3,3,0.95862,4,"The specific proposed algorithm shares similarities in spirit with the one from parameter space noise for exploration, though there are notable differences.",3,0.9074,4
640,this paper is written,3,3,0.94175,3,This paper has been written.,3,0.94617,3
43,you need a comma here do they not have commas at your institution or do they just cost a lot,2,2,0.6227,2,"It seems a comma might be helpful here. Does your institution have a specific style guide regarding comma usage, or perhaps different preferences?",3,0.48659,5
1556,the performance of the proposed model on the count questions in the clevr dataset is especially better than existing models and is worth noting,2,4,0.7941,4,The performance of the proposed model on the count questions in the CLEVR dataset is particularly impressive compared to existing models and deserves recognition.,4,0.78843,5
1979,maybe i missed or overlooked some detail but i didnt spot exactly what the classification task was,3,2,0.57032,4,"I may have missed or overlooked some detail, but I didn't quite catch what the classification task was exactly.",2,0.69283,4
203,in summary while i believe the work to be valid timely original and relevant i am unable to see in what sense this work accords to the strict journals criteria,3,3,0.45312,4,"In summary, while I believe the work to be valid, timely, original, and relevant, I am currently unable to see how it aligns with the strict criteria of the journal.",2,0.53816,4
233,i would drop the first clause in the paper title it does nothing other than degrade the scientific integrity of the work,3,1,0.57778,3,"I would suggest considering removing the first clause from the paper title, as it could enhance the scientific integrity of the work.",3,0.39759,5
814,this manuscript was neither enjoyable nor informative to read,2,4,0.69975,2,This manuscript could benefit from improvements in both engagement and informative content.,4,0.60482,4
660,and finally the references are a mess,2,2,0.74967,2,"Finally, the references could use some improvement.",3,0.77605,4
458,moreover it is unclear whether the effect is sufficiently important to warrant replication,3,3,0.92113,3,"Furthermore, it is currently unclear whether the effect holds enough significance to justify replication.",3,0.90246,4
628,even with the appropriate revisions these results could provide a very limited contribution to the field,3,3,0.80364,3,"Even with the appropriate revisions, these results may offer a limited contribution to the field.",3,0.81492,4
1948,consider for example a task with long sequences outputs at every time step and hidden activations not necessarily being encouraged to estimate last step hidden activations,3,3,0.93603,3,"Consider, for example, a task with lengthy sequence outputs at each time step, where it might not always be encouraged for hidden activations to estimate the last step's hidden activations.",3,0.84881,4
1635,i feel like these issues should at least be mentioned in the paper so it is clear to the reader that there is truly natural noise of ruckus,1,2,0.49075,4,I believe it would be beneficial to mention these issues in the paper to ensure that readers are aware of the natural background noise.,4,0.55202,5
1130,significance this work demonstrates failures of relational networks on relational tasks which is an important message,3,3,0.90539,3,"The significance of this work highlights the challenges that relational networks face on relational tasks, which is a crucial message.",3,0.7506,5
1998,can you detail about the ranking method in durand   for example,2,3,0.8773,4,"Could you please provide more details about the ranking method used in Durand, for example?",5,0.84218,5
2253,interesting concept but not sure how relatively valuable the contribution is quality of the writing is good and creativity of the idea no issues with novelty and clarity and the authors have addressed data concerns with comparable experiments within the similar category some concerns with the data have already been outlined by the authors it would have been nice to read further suggestions or solutions to address those concerns,4,4,0.82334,4,"This is an interesting concept, though I'm uncertain about the relative value of its contribution. The quality of the writing is commendable, and there is no issue with the creativity, novelty, or clarity of the idea. The authors have effectively addressed data concerns with comparable experiments within a similar category. However, it would be appreciated if further suggestions or solutions to address the outlined data concerns were provided.",4,0.8263,4
798,i have read this ms twice which given the grammatical howlers in the abstract would appear to be more times than it has been read by the authors given the lack of proofreading and my concern over the methods used i shall not comment beyond the end of the methods section and shall comment selectively rather than exhaustively which would indeed be exhausting,2,4,0.82897,2,"Having read this manuscript twice, it seems the grammatical errors in the abstract suggest it may benefit from further proofreading by the authors. Due to these concerns and issues with the methods used, I will focus my comments primarily on the methods section and provide selective feedback rather than a comprehensive review, which may be very time-consuming.",4,0.79787,4
815,it is more of a blog post than a research article,3,2,0.68732,3,This reads more like a blog post than a research article.,2,0.67051,3
69,overall this paper goes to significant amounts of trouble to accomplish something that is already well established as a technique in a less elegant manner than is currently employed this paper should not be published,2,3,0.41397,0,"Overall, this paper makes a commendable effort to address a technique that is already well established. However, it may not achieve the level of elegance seen in existing methods. Given this, it might be best to reconsider its publication at this time.",4,0.75297,4
357,there is no research methodology no data no model no significant analysis and no conclusions which arise from the study,2,3,0.71663,2,"The study appears to lack a clear research methodology, data, model, significant analysis, and conclusions.",4,0.58373,3
1844,the authors propose a model for sequence classification and sequential decision making,3,3,0.65311,4,The authors suggest a model for sequence classification and sequential decision-making.,4,0.54328,5
538,it is safe to say that the authors want to see their paper published more than i really want to reject it,3,2,0.80849,3,"It seems reasonable to suggest that the authors have a strong desire to see their paper published, perhaps even more so than my inclination to reject it.",2,0.66933,4
1499,as mentioned above the proposed method can be computationally expensive when used for mtl but no timing results are reported,3,3,0.91273,3,"As mentioned above, the proposed method may require significant computational resources when applied to MTL, yet the discussion does not include any timing results.",3,0.79128,4
1799,i want to make sure the authors put a bit more effort into cleaning up the mess,2,2,0.44148,3,I would appreciate it if the authors could put some extra effort into organizing and refining the content.,4,0.63724,4
339,reviewer   the project is clearly high riskhigh gain,3,3,0.94739,4,"Reviewer, the project appears to have a high risk but also a high potential for gain.",3,0.84972,4
1554,the paper is technically horrific,1,2,0.72405,2,The paper presents several technical challenges.,3,0.73649,4
2196,is it clear that this research is not needed,1,3,0.93018,2,Is it possible to clarify the necessity of this research?,3,0.83995,4
853,the paper is presented as a rather undigestible and tortuous collection of disparate results,2,3,0.70244,2,The paper is presented as a somewhat complex and intricate collection of various results.,3,0.79477,4
689,a blizzard of extraneous data external information should be culled,2,2,0.539,3,It would be beneficial to carefully review and selectively reduce the amount of external information to focus on the most relevant data.,4,0.74963,5
2223,it feels like it should be the same but the tweaks applied to fix weights across all samples for a class doesnt make it not clear what is that really gets optimised at the end,3,3,0.92813,3,"It seems like it should be the same, but the adjustments made to fix weights across all samples for a class don't make it very clear what is actually being optimized in the end.",3,0.87214,4
1434,the paper presents an empirical evaluation which seems encouraging but that is also somewhat difficult to interpret given the lack of comparison to other state of the art methods,4,4,0.78544,4,"The paper presents an empirical evaluation that appears promising, though it is somewhat challenging to interpret due to the absence of comparisons with other state-of-the-art methods.",4,0.67586,4
1880,the manuscript itself makes it difficult to assess,2,3,0.86271,3,The manuscript presents some challenges that make it difficult to assess.,3,0.78613,4
1069,please say in the main text that details in terms of architecture and so on are given in the appendix,5,5,0.83137,4,Could you kindly mention in the main text that the details regarding architecture and related topics are provided in the appendix?,5,0.71804,5
1263,if so would it be possible to plot the complete curves,3,3,0.95328,4,"If possible, could you please plot the complete curves?",5,0.83208,5
1235,i see that the female author prefers more pinkish color,1,2,0.63356,4,I observe that the female author seems to have a fondness for pinkish tones.,2,0.55577,4
2163,some readers may mistakenly think that the embeddings are sota on sim lex since no stronger results are provided in the table,3,3,0.86326,4,"Some readers might inadvertently believe that the embeddings are state-of-the-art on SimLex, as the table does not present any stronger results.",3,0.56759,4
2013,the paper is accurate very well written apart from a small number of grammatical mistakes and contains appealing motivations to its key contributions,5,4,0.87746,4,"The paper is accurate and very well-written, with just a few minor grammatical mistakes. It also presents appealing motivations for its key contributions.",4,0.77835,0
