,review,tone,predicted_label,score,rewritten_review,rewrite_predicted_label,rewrite_score,GptClassification:
1217,when a policy is required to pass through a very narrow tunnel of states the regularization that forces a wide action distribution could not have a good performance,3,3,0.9559,"When a policy needs to pass through a very narrow tunnel of states, the regularization that encourages a wide action distribution may not perform optimally.",3,0.93016,3
2161,this paper is poor in the reproducibility category,2,3,0.9335,This paper could benefit from improvements in the reproducibility category.,3,0.86142,2
1540,arguably the most popular is straight through estimation hinton   bengio et al   in which the activation functions are simply treated as identity functions during backpropagation,3,3,0.95724,"Arguably, one of the most popular methods is the straight-through estimation, as proposed by Hinton, Bengio, et al., in which the activation functions are treated as identity functions during backpropagation.",3,0.89013,3
1117,the authors propose to train neural networks with   weights by storing and updating full precision weights in training but using the reduced   version of the network to compute predictions and gradients in training,4,3,0.63271,"The authors suggest training neural networks by maintaining and updating full precision weights during training, while employing the reduced version of the network to compute predictions and gradients throughout the training process.",4,0.57467,3
2042,is the idea that we do not want to use domain knowledge about which symbols correspond to operations vs which correspond to numbers,3,3,0.82116,Could you clarify whether the intention is to avoid employing domain knowledge to distinguish between symbols representing operations and those representing numbers?,3,0.93643,3
2342,there are some comments are shown on pages,3,3,0.93764,There are certain comments displayed on pages.,3,0.88671,3
592,comment   i am not sure why there is a full section about limitations this in itself says a lot about the study,4,2,0.62703,"I am curious about the reasons for dedicating a full section to limitations, as it seems to offer significant insights into the study.",2,0.51637,2
1896,it is hard to believe that meaningful results are achieved,3,3,0.87256,It is difficult to believe that significant results are being accomplished.,3,0.62783,2
181,there are a number of awkward sentences these occur as early as the abstract and the writer has a tendency to overburden the sentence at a deeper level the argument is at times uninspiring nevertheless the topic is interesting enough,4,4,0.84411,"There are some sentences that could benefit from clarification, starting as early as the abstract. Additionally, the writing sometimes becomes quite dense. However, while the argument could be more engaging, the topic itself is certainly interesting.",4,0.8032,2
895,significance trust pcl achieves overall competitive with state of the art external implementations,3,3,0.76949,The significance of trust in PCL is demonstrated by its ability to achieve competitive performance when compared with state-of-the-art external implementations.,3,0.82358,3
2167,in retrospect i wish the authors would have spent more time doing ablation studies than tackling more task domains,2,1,0.74812,"Upon reflection, I would have appreciated if the authors had focused more on conducting ablation studies rather than expanding into additional task domains.",4,0.40059,3
565,this is a nicely done paper but the sample is small the measures uninformative and the findings have only very weak relevance to policy or practice nothing much one can do about these flaws,3,4,0.7836,"This is a well-crafted paper, although the sample size is rather limited, and the measures are not as informative as they could be. Additionally, the findings seem to have limited relevance to policy or practice. There might be challenges in addressing these issues, but the effort is commendable.",4,0.75837,2
575,such a prestigious journal can surely make better use of its limited space,3,4,0.44037,A prestigious journal like this one certainly has the ability to optimize its limited space effectively.,4,0.39607,2
2255,i enjoyed reading this paper in particular i liked the compact comparison in table   i believe that the results are interesting unfortunately the authors have not tested their algorithm experimentally with some synthetic cases for instance after rebuttal i thank the authors for including some experiments in the rebuttal i raise my evaluation from   to   mainly because i reconsidered the importance and impact of the theoretical results,5,5,0.83545,"I enjoyed reading this paper, and particularly appreciated the compact comparison presented in the table. I find the results intriguing. It would be beneficial, however, if the authors could conduct experimental tests of their algorithm using some synthetic cases, for example. I thank the authors for including some experiments in their rebuttal. As a result, I have raised my evaluation from   to   after reconsidering the significance and impact of the theoretical results.",5,0.80412,4
1857,regarding the results in table   the results in table   seem a little bit unstable as it is unclear which setting to use for the classification tasks maybe it depends on the kind of classification being performed,3,3,0.94675,"Regarding the results in Table, the findings appear to be somewhat inconsistent. It might be helpful to clarify which settings should be used for the classification tasks, as this could potentially vary depending on the type of classification being performed.",4,0.61078,3
176,the writer of the manuscript is utterly ridiculous and appears to believe they will solve poverty through radio astronomy,1,1,0.73401,The writer of the manuscript seems to have an optimistic view about addressing poverty through radio astronomy.,4,0.44359,1
1865,would rins readily learn to reset parts of the hidden state,3,3,0.76017,Would RNNs be able to readily learn how to reset components of the hidden state?,3,0.83264,3
1245,is the fork module the main contribution of the paper,3,3,0.95705,Is the fork module considered the primary contribution of the paper?,3,0.9558,3
2289,the paper is well organized please double check the format of the paper especially the figures,3,5,0.82333,"The paper is well organized. Could you please double-check the format, particularly the figures?",5,0.82405,4
1916,it is also a little confusing that you begin this paragraph saying that you are doing a classification task but then it seems like a regression task which may be postprocessed to give a classification,3,3,0.71332,"It is a bit unclear, as this paragraph starts by mentioning a classification task, but then it appears more like a regression task that might be post-processed to yield a classification.",3,0.84773,3
1586,judging from the description of the experiments this parameter is important to the performance of the method and needs to be set experimentally,3,3,0.85924,"Based on the description of the experiments, this parameter appears to be crucial to the performance of the method, and it might be beneficial to determine it experimentally.",3,0.48371,3
554,this paper makes no contribution,3,3,0.94662,This paper does not appear to add to the current body of knowledge.,3,0.85918,2
489,the authors showed the differences at scale   and so what,1,3,0.6636,The authors demonstrated the differences at scale; I am curious to know more about the implications of these findings.,2,0.44486,2
100,this is a perfect example of the worst kind of research in social psychology,2,1,0.49966,This research in social psychology appears to be an example that may not meet the high standards typically expected in the field.,3,0.53634,1
2188,where is your background material,2,2,0.53215,Could you please provide the background material? Thank you!,5,0.84821,2
360,it is worth saying that i am not convinced that you contribute to the evidence base in this paper,2,2,0.68247,It is worth noting that I am not yet convinced of the contribution made to the evidence base in this paper.,2,0.62388,2
931,importance understanding the landscape local vs global minima vs saddle points is an important direction in order to further understand when and why deep neural networks work,3,4,0.50683,Understanding the landscape of local versus global minima and saddle points is crucial in order to deepen our insight into when and why deep neural networks function effectively.,4,0.72082,3
2378,thanks for addressing the reviewers recommendation,5,5,0.85363,Thank you for considering and addressing the reviewers' recommendations.,5,0.85248,4
2329,the revised paper ca be accepted for publication,3,3,0.87969,The revised paper can be accepted for publication.,3,0.92432,3
1634,this paper is poor in the reproducibility category,3,3,0.9335,This paper could benefit from improvements in the reproducibility category.,3,0.86142,2
214,some idea of strategies to define general populations for studies might be helpful both to the reader and to help the authors avoid their meaningless generalities,4,4,0.85007,"It might be beneficial for both readers and the authors if some strategies for defining general populations for studies are included, as this could help prevent the use of vague generalities.",4,0.70045,3
430,the scales appear to be not divided into quartiles as stated but rather are based on the distribution of the data into quartiles,3,3,0.94324,"It seems that the scales are not divided into quartiles as stated, but rather reflect the distribution of the data into quartiles.",3,0.85913,4
2200,the mode collapse prevention via mi maximisation is also interesting and deserves more experimental attention to make the paper stronger,3,4,0.66509,The exploration of mode collapse prevention through mutual information maximization is quite intriguing and would benefit from further experimental attention to enhance the paper's strength.,4,0.78607,4
1577,so whatever network that outputs the stack operation cannot be jointly learned with gradients,3,3,0.95578,"Therefore, it seems that any network responsible for outputting the stack operation may not be able to be learned jointly using gradients.",3,0.91366,3
1133,below i detail my reasons   the ica problem can be formulated as the minimization of pairwise mutual information   or one dimensional entropy,3,3,0.94633,"Below, I detail my reasons: the ICA problem can be formulated as the minimization of pairwise mutual information or one-dimensional entropy.",3,0.84567,3
495,i have read this paper several times through and i have nothing to say in its defense,2,2,0.69579,I have carefully reviewed this paper multiple times and find it challenging to offer a positive defense.,4,0.5685,2
2265,this paper provides the first sublinear time algorithm for the subspace approximation problem in the streaming and in the distributed settings of computation subspace approximation is an important machine learning problem the paper is very well written and i found the results interesting and important one weakness of the paper is that the experimental results are short and not very informative,4,4,0.80107,"This paper presents the first sublinear time algorithm for the subspace approximation problem in both the streaming and distributed settings of computation. Subspace approximation is a significant problem in machine learning. The paper is excellently written, and I found the results both interesting and important. However, one area that could be improved is the experimental results section, which is brief and could be more informative.",4,0.79655,4
1759,originality the paper proposes a path consistency learning method with a new combination of entropy regularization and relative entropy,4,3,0.95802,The paper introduces an innovative path consistency learning method that presents a novel combination of entropy regularization and relative entropy.,3,0.81855,4
1532,it was hard to read and understand their value just because mostly the text was structured as one lemma after the other,3,3,0.90835,"It was a bit challenging to read and understand their value, as the text was mainly structured with one lemma following another.",3,0.7029,2
1745,i would recommend to restructure the paper to clearly mention each of the components describe them individually and then explain how they are combined for both cases ddrprog and ddrstack,2,4,0.53849,"I would recommend restructuring the paper to clearly outline each of the components, describing them individually, and then explaining how they are combined for both cases, DDRProg and DDRStack.",4,0.51344,4
1278,initially problem is written as a constrained optimization problem,3,3,0.955,"Initially, the problem is formulated as a constrained optimization problem.",3,0.92777,3
1591,weaknesses although the proposed model is helpful to model counting information in vqa it fails to show improvement with respect to a couple of important baselines prediction from image representation only and from the combination of image representation and attention weights,4,4,0.56421,"While the proposed model is indeed helpful for modeling counting information in VQA, it does not demonstrate improvement when compared to a few key baselines: predictions based solely on image representation, and those combining image representation with attention weights.",4,0.64203,3
1785,weights disappeared in the majority of the analysis,3,3,0.94784,It seems that the weights were not present in most of the analysis.,3,0.80355,2
2175,images are tiled and tiles are sampled and encoded into a feature vector via a res net   pretrained on image net,3,3,0.92037,"Images are arranged in tiles, which are then sampled and encoded into a feature vector using a ResNet model that has been pretrained on ImageNet.",3,0.81906,3
1773,online discovery of feature dependencies,2,3,0.95241,Exploring feature dependencies online,3,0.93571,3
1449,using this energy function the authors hypothesize that it will force the generator to generate realistic images,3,3,0.73027,"The authors propose that by utilizing this energy function, it may encourage the generator to produce realistic images.",4,0.5738,3
1934,the mean distance between random nearest neighbors from the training samples would be much more appropriate,4,3,0.69495,It seems that the mean distance between random nearest neighbors from the training samples might be more suitable.,3,0.74146,3
1106,in the experiments the authors plotted the training progress wrt the minibatch iterations i do not know if the minibatch iteration is a proxy for actual runtime or number of floating point operations,3,3,0.92115,"In the experiments, the authors plotted the training progress with respect to the minibatch iterations. I am unsure if the minibatch iteration is a proxy for actual runtime or the number of floating point operations.",3,0.64959,3
1443,this discussion does not appear at all in the manuscript and it would be an important limitation of the method specially when dealing with large scale data sets,3,4,0.60873,"This discussion is not currently included in the manuscript, and addressing it could significantly enhance the method, particularly when handling large-scale data sets.",4,0.5223,3
1617,cons straightforward testing of network performance on specific visual relation tasks,3,3,0.9011,Consider conducting straightforward testing of network performance on specific visual relation tasks.,3,0.93406,3
1229,the authors are unpromising,1,4,0.82575,The authors show potential for growth.,4,0.56503,1
215,what is a systematic review i have never heard of an unsystematic review,2,2,0.56736,I am curious about the concept of a systematic review and how it differs from what might be considered an unsystematic review. Could you please explain?,5,0.81726,2
821,publication of this paper will not advance our knowledge in any shape of form it will just result in other researchers pointing out how bad this study actually is,1,2,0.61555,"The publication of this paper may not significantly contribute to our existing knowledge, and there is a possibility that it might attract critical feedback from other researchers regarding the study's design or findings.",4,0.67536,1
504,it is always rather pleasant to recommend that a paper be rejected,3,4,0.76167,It is always somewhat satisfying to suggest that a paper may need to be reconsidered for acceptance.,3,0.52028,2
530,the opinion expressed in the ms is highly biased and patriotically motivated and is not suitable for publication in this journal,5,4,0.66822,"The opinion expressed in the manuscript appears to be quite subjective and strongly influenced by patriotic sentiments, which may not align with the standards for publication in this journal.",3,0.38892,2
257,i appreciated how the author seemingly had in mind that a goodly percentage of the readership are not native speakers so anything too academic or erudite might be lost on them,3,2,0.75498,"I appreciated how the author thoughtfully considered that a significant portion of the readership may not be native speakers, making sure that overly academic or erudite language was accessible to everyone.",2,0.33921,4
331,clearly you can tell that i have become distracted by the style of reporting results i have in fact given up trying to find the real biological trends in the results,2,2,0.84268,"It seems like I've become quite intrigued by the style of reporting results, which has made it challenging for me to focus on identifying the actual biological trends in the data.",2,0.4797,2
1415,i think the length of the proof wont matter a lot since it is already in the appendix but it makes the reader a lot easier to understand it,3,3,0.65081,"I believe the length of the proof may not be significant since it is already in the appendix, but it does make it much easier for the reader to understand.",3,0.43392,3
897,authors claimed that it satisfies the multi step path consistency but the derivation is missing,4,3,0.85678,"The authors stated that it satisfies the multi-step path consistency, though the derivation appears to be missing.",3,0.53147,3
681,the history of science tells us that a strong theory that explains numerous phenomena is generally overturned by a better theory rather than by the wholly negative and nitpicking criticisms of the present paper,3,3,0.60832,"The history of science suggests that a robust theory explaining numerous phenomena is typically replaced by an even more compelling one, rather than solely through negative critiques and detailed criticisms like those presented in this paper.",3,0.60163,2
1361,le quoc v navdeep jaitly and geoffrey e hinton,3,3,0.79608,"Le Quoc, Navdeep Jaitly, and Geoffrey E. Hinton.",3,0.5178,3
1340,the authors claim that vaswani model does not incoporate positional information but from my understanding it actually does so using positional encoding,3,3,0.74634,"The authors suggest that the Vaswani model does not incorporate positional information. However, from my understanding, it does include positional information through the use of positional encoding.",4,0.62601,3
1169,the authors introduce a set of very simple tasks that are meant to illustrate the challenges of learning visual relations,3,4,0.61225,The authors present a collection of straightforward tasks designed to highlight the challenges involved in learning visual relations.,4,0.63885,4
243,despite all my efforts i failed to understand what the actual focus of this paper is,2,2,0.68084,"Despite all my efforts, I am having difficulty understanding the main focus of this paper.",2,0.70651,2
264,in order to be able to publish this manuscript it need sic to be rewritten in the form of a scientific article,3,3,0.88229,"To be able to publish this manuscript, it should be rewritten in the format of a scientific article.",3,0.64984,2
1027,from theoretical perspective the main claim in this paper seems to be   however it is not formalised in any form of theorem and so lacks a lock of strictness,3,3,0.95081,"From a theoretical perspective, the main claim in this paper appears to be intriguing; however, it would benefit from a more formalized expression in the form of a theorem to enhance its rigor.",4,0.58925,2
801,i now have had a chance to look at this paper i think it is a bit of a joke,1,2,0.8356,"Having had the opportunity to review this paper, I find that it may benefit from further refinement.",4,0.59629,1
472,the results section is not great boring,2,2,0.80686,The results section could benefit from some enhancements to make it more engaging and interesting.,4,0.54292,2
712,it is clear that the author has read way too much and understood way too little many of the most serious errors are more or less just copied out from what he has read so it is hard to know how to deal with such cases sprinkled here and there are some things also taken from his readings that are more or less correct but it is all very confused,1,4,0.64618,"It seems that the author has invested a lot of time in reading but may have misunderstood some crucial aspects. Many significant errors appear to be influenced heavily by the sources consulted, making it challenging to address them properly. However, there are instances where some insights from the readings are correctly interpreted, though the overall presentation feels somewhat disorganized.",4,0.74655,1
1524,they then extend these idea to multi layer encoder decoder networks by performing greedy layer wise training and using the proposed algorithms for training each layer,3,3,0.88401,They then extend these ideas to multi-layer encoder-decoder networks by conducting a careful greedy layer-wise training and employing the proposed algorithms for training each individual layer.,3,0.71954,3
516,the proposal is also poorly written and unfocused with only brief moments of meritorious thinking,2,2,0.5022,"The proposal could benefit from further refinement and focus, though there are brief moments of commendable ideas.",4,0.63298,2
664,not only does this strike me as the worst kind of postmodern legerdemain but if true the statement would transform ethics into a hopelessly muddled enterprise,2,2,0.58873,"This seems to me to reflect a kind of postmodern complexity, and if it is indeed accurate, the implication would be that ethics might become a significantly more challenging field.",2,0.55734,2
1876,how are gradients calculated,2,3,0.93402,Could you please explain how gradients are calculated?,5,0.80264,3
2281,authors propose an interesting insight into analyzing dynamics in cnns the paper is well written and straight forward to understand,4,4,0.82624,"The authors present an intriguing perspective on analyzing dynamics in CNNs, and the paper is well-written and easy to understand.",4,0.80998,5
795,it paper has a kind of selfhelp quality to it,2,3,0.49678,The paper has a certain self-help quality to it.,3,0.73779,2
2202,it took a few passes for me to parse what was going on here,2,2,0.83143,It required a few readings for me to fully understand what was happening here.,2,0.59684,3
2119,to some degree this paper evaluates weldon durand   on new data and compares it against and an extended weldon algorithm called chowder that features the final mlp step,4,3,0.89074,"To some extent, this paper assesses Weldon Durand using new data and contrasts it with an enhanced version of the Weldon algorithm known as Chowder, which includes the final MLP step.",3,0.79719,3
1279,the result of this is another algorithm i guess the main result of the paper which is strangely presented in the appendix as opposed to the main text which has no such guarantees,3,3,0.79701,"The result of this seems to be another algorithm, which I assume is the main result of the paper. Interestingly, it is presented in the appendix rather than the main text, which does not include such guarantees.",3,0.80929,2
1376,since right now more and more neural networks are deployed to end users the authors make an interesting contribution to a very relevant question,4,4,0.79217,"As more and more neural networks are being deployed to end users, the authors provide an interesting contribution to a highly relevant question.",4,0.80075,5
288,returning to the introduction the study rationale is unclear the exact research question to be addressed poorly delineated and the overall motivation for the study poorly linked to the literature summary and aims of the study,4,4,0.76382,"Upon revisiting the introduction, I noticed that the rationale of the study could be clarified further. It would be helpful if the exact research question was more precisely defined, and if the overall motivation for the study was more clearly connected to the literature summary and aims.",4,0.78637,2
200,this work is antithetical to the spirit of xx research and will impede potentially important developments,2,3,0.66391,This work seems to be at odds with the core principles of xx research and may hinder the progress of potentially significant developments.,3,0.52435,2
1297,the paper did not specify how often the neural net must be trained,3,3,0.87279,The paper could benefit from specifying the recommended frequency for training the neural net.,3,0.76472,3
824,this made the paper very long and may bore the reader,2,3,0.70093,The length of this paper might lead to readers losing interest.,2,0.67905,2
1840,comments to the authors the intro starts from a very high clinical level,2,4,0.63712,I would like to kindly suggest to the authors that the introduction seems to begin at a rather advanced clinical level.,2,0.35379,3
1408,sgd outperforms dante on ionosphere dataset and is competent with dante on mnist and usps,3,4,0.85691,SGD performs better than Dante on the Ionosphere dataset and is comparable to Dante on the MNIST and USPS datasets.,3,0.68665,3
251,to put it bluntly the last thing i want is a reviewer rejecting my papers with reference to an ideological paper like this one,2,1,0.6009,"To be honest, I would prefer that my papers are not rejected based on a comparison to a paper with a strong ideological focus like this one.",2,0.65165,2
1016,the dimensionality of the subspace representation importantly depends on the choice of the rank r of u and v,3,3,0.95515,The dimensionality of the subspace representation is significantly influenced by the selected rank r of u and v.,3,0.93495,3
29,i am afraid this manuscript may contribute not so much towards the fields advancement as much as towards its eventual demise,1,2,0.66441,I am concerned that this manuscript may not significantly advance the field and could potentially impact its progress negatively.,2,0.50521,2
717,the paper is grossly over referenced and reads a little like a student trying to impress a supervisor that a lot has been read rather than a mature and parsimonious use of citations the conclusions are hardly world shattering,2,2,0.64786,"The paper appears to contain an abundance of references, which may give the impression of someone aiming to impress a supervisor with an extensive reading list, rather than demonstrating a thoughtful and concise use of citations. Additionally, the conclusions could be seen as somewhat underwhelming.",4,0.53859,2
960,for the most paper the paper is clearly written with each design decision justified and rigorously specified,4,3,0.56284,"For the most part, the paper is clearly written, with each design decision well justified and rigorously specified.",4,0.55351,4
531,the authors should take the time to thoroughly refine and revise manuscripts before they are sent to innocent reviewers,3,1,0.70366,It would be greatly appreciated if the authors could take the time to thoroughly refine and revise their manuscripts before submitting them to the dedicated reviewers.,4,0.77433,2
212,the fact that something has not been studies is not in itself a reason why it should be studied,3,2,0.51977,The fact that something has not been studied does not automatically justify the need for it to be studied.,3,0.77544,3
443,redacteds talks are popular but then so are keha concerts,2,3,0.7089,"Redacted's talks are quite popular, just as Ke$ha concerts are widely attended.",3,0.47025,2
1813,overall theres the start of an interesting idea here but i dont think the quality is high enough to warrant publication at this time,3,2,0.62064,"Overall, there's the beginning of an interesting idea here, but I believe the quality could be improved before considering it for publication.",2,0.40609,2
256,some self citations may be easily taken out without harming the paper,3,3,0.57057,Some self-citations could potentially be removed without negatively impacting the quality of the paper.,3,0.67892,4
2332,nicely done and extremely useful to any drug development organization with an asset targeted for nafld the analysis could be used to design and validate a phase   or possibly a phase   registration trial it is unlikely any pharma development organization could access compile and analyze the information from the   trials in this way and would have to speculate on variability and effect size in order to proceed to proof of principle with a development asset,4,4,0.82676,"Nicely done and extremely useful for any drug development organization with an asset targeted for NAFLD. The analysis could be used to design and validate a Phase or possibly a Phase registration trial. It is improbable that any pharma development organization could access, compile, and analyze the information from the trials in this way, thus they may need to speculate on variability and effect size in order to proceed to proof of principle with a development asset.",4,0.79031,4
259,i was somewhat disappointed after reading the ms,2,2,0.40614,I was a bit disappointed after reading the manuscript.,2,0.41803,2
1274,given that the results are very close to other approaches it remains unclear whether they are simply due to random variations or whether the proposed approach actually achieves a non random improvement,3,3,0.9455,"Considering that the results closely resemble those of other approaches, it remains uncertain whether these outcomes are merely due to random variations or if the proposed method genuinely achieves a non-random improvement.",3,0.85618,3
1282,consequently for a strong empirical paper i would expect much more baselines including these proposed by krueger et al,3,3,0.9266,"For a robust empirical paper, I would suggest including more baseline comparisons, such as those proposed by Krueger et al.",3,0.7936,3
623,proposition   was so fundamentally wrong that i saw no point in reading beyond it,2,2,0.85161,"The proposition seemed quite challenging to me, and I found it difficult to continue reading beyond it.",2,0.59102,2
1864,the specific proposed algorithm is close in spirit to the one from parameter space noise for exploration but there are significant differences,3,3,0.95862,"The specific proposed algorithm shares similarities in concept with the one from parameter space noise for exploration, yet there are notable differences.",3,0.90505,4
640,this paper is written,3,3,0.94175,This paper has been written.,3,0.94617,3
43,you need a comma here do they not have commas at your institution or do they just cost a lot,2,2,0.6227,It seems a comma would be helpful here. Is it possible that they are used sparingly at your institution?,2,0.69987,1
1556,the performance of the proposed model on the count questions in the clevr dataset is especially better than existing models and is worth noting,2,4,0.7941,The performance of the proposed model on the count questions in the CLEVR dataset is notably superior to existing models and is worth acknowledging.,4,0.6986,5
1979,maybe i missed or overlooked some detail but i didnt spot exactly what the classification task was,3,2,0.57032,"Perhaps I may have overlooked some details, but I wasn't able to clearly identify what the classification task was.",2,0.6684,4
203,in summary while i believe the work to be valid timely original and relevant i am unable to see in what sense this work accords to the strict journals criteria,3,3,0.45312,"In summary, while I believe the work to be valid, timely, original, and relevant, I am currently unable to see how it aligns with the strict criteria of the journal.",2,0.53816,4
233,i would drop the first clause in the paper title it does nothing other than degrade the scientific integrity of the work,3,1,0.57778,"I would suggest considering the removal of the first clause in the paper title, as it may enhance the scientific integrity of the work.",3,0.42009,2
814,this manuscript was neither enjoyable nor informative to read,2,4,0.69975,This manuscript did not quite meet my expectations for enjoyment or information.,2,0.57832,2
660,and finally the references are a mess,2,2,0.74967,"Lastly, it seems that the references need some organization.",3,0.7865,2
458,moreover it is unclear whether the effect is sufficiently important to warrant replication,3,3,0.92113,"Furthermore, it is uncertain whether the effect is significant enough to justify replication.",3,0.89969,3
628,even with the appropriate revisions these results could provide a very limited contribution to the field,3,3,0.80364,"Even with the appropriate revisions, these results might offer a somewhat limited contribution to the field.",3,0.79907,2
1948,consider for example a task with long sequences outputs at every time step and hidden activations not necessarily being encouraged to estimate last step hidden activations,3,3,0.93603,"Consider, for example, a task with long sequence outputs at each time step, where hidden activations may not be specifically encouraged to estimate the hidden activations from the last step.",3,0.83639,3
1635,i feel like these issues should at least be mentioned in the paper so it is clear to the reader that there is truly natural noise of ruckus,1,2,0.49075,I believe it would be beneficial to mention these issues in the paper to provide clarity to the reader about the presence of natural noise or disturbances.,4,0.62069,3
1130,significance this work demonstrates failures of relational networks on relational tasks which is an important message,3,3,0.90539,"The significance of this work lies in its demonstration of challenges faced by relational networks on relational tasks, which conveys an important message.",3,0.66376,3
1998,can you detail about the ranking method in durand   for example,2,3,0.8773,Could you please provide more details about the ranking method in Durand? Thank you.,5,0.84948,3
2253,interesting concept but not sure how relatively valuable the contribution is quality of the writing is good and creativity of the idea no issues with novelty and clarity and the authors have addressed data concerns with comparable experiments within the similar category some concerns with the data have already been outlined by the authors it would have been nice to read further suggestions or solutions to address those concerns,4,4,0.82334,"The concept presented is intriguing, although I am unsure about the relative value of the contribution. The quality of the writing is commendable, and there are no issues with the creativity, novelty, or clarity of the idea. The authors have done well in addressing data concerns with comparable experiments within a similar category. While some concerns with the data have been outlined by the authors, it would have been appreciated if further suggestions or solutions to address those concerns were included.",4,0.82949,4
798,i have read this ms twice which given the grammatical howlers in the abstract would appear to be more times than it has been read by the authors given the lack of proofreading and my concern over the methods used i shall not comment beyond the end of the methods section and shall comment selectively rather than exhaustively which would indeed be exhausting,2,4,0.82897,"I have read this manuscript twice. Based on the grammatical issues in the abstract, it appears it may not have been thoroughly read by the authors. Due to the lack of proofreading and my reservations about the methods used, I will provide selective comments up to the end of the methods section, as addressing all issues would be quite extensive.",4,0.75577,2
815,it is more of a blog post than a research article,3,2,0.68732,The article seems to have a more blog-like style compared to a traditional research paper.,3,0.43153,2
69,overall this paper goes to significant amounts of trouble to accomplish something that is already well established as a technique in a less elegant manner than is currently employed this paper should not be published,2,3,0.41397,"Overall, this paper makes a considerable effort to address a technique that is already well-established. However, it seems to do so in a way that may be less elegant than current methods used. It might be worth reconsidering its publication in its current form.",4,0.55972,2
357,there is no research methodology no data no model no significant analysis and no conclusions which arise from the study,2,3,0.71663,"It seems that the study could benefit from the inclusion of a robust research methodology, comprehensive data, a well-defined model, significant analysis, and clear conclusions.",4,0.77813,2
1844,the authors propose a model for sequence classification and sequential decision making,3,3,0.65311,The authors propose an insightful model for sequence classification and sequential decision making.,4,0.66136,3
538,it is safe to say that the authors want to see their paper published more than i really want to reject it,3,2,0.80849,"It is safe to say that the authors are eager to have their paper published, and I am open to considering it carefully.",2,0.33682,2
1499,as mentioned above the proposed method can be computationally expensive when used for mtl but no timing results are reported,3,3,0.91273,"As noted earlier, the proposed method may become computationally intensive when applied to MTL, yet it seems that timing results have not been provided.",3,0.88844,3
1799,i want to make sure the authors put a bit more effort into cleaning up the mess,2,2,0.44148,I would appreciate it if the authors could put in a little more effort to tidy up the content.,4,0.54262,2
339,reviewer   the project is clearly high riskhigh gain,3,3,0.94739,"Reviewer, the project clearly involves a high risk but also offers significant potential for gain.",3,0.83895,3
1554,the paper is technically horrific,1,2,0.72405,The paper could benefit from some technical improvements.,3,0.69841,1
2196,is it clear that this research is not needed,1,3,0.93018,Is it possible that this research may not be necessary?,3,0.50994,2
853,the paper is presented as a rather undigestible and tortuous collection of disparate results,2,3,0.70244,The paper is presented as a complex and challenging collection of diverse results.,3,0.68623,2
689,a blizzard of extraneous data external information should be culled,2,2,0.539,A substantial amount of additional data and information could be carefully reviewed and streamlined.,4,0.58284,2
2223,it feels like it should be the same but the tweaks applied to fix weights across all samples for a class doesnt make it not clear what is that really gets optimised at the end,3,3,0.92813,"It seems like it should be the same, but the adjustments made to the weights across all samples for a class don't clearly convey what is ultimately being optimized.",3,0.83776,2
1434,the paper presents an empirical evaluation which seems encouraging but that is also somewhat difficult to interpret given the lack of comparison to other state of the art methods,4,4,0.78544,"The paper presents an empirical evaluation that appears promising; however, it is somewhat challenging to interpret due to the absence of comparisons with other state-of-the-art methods.",4,0.63639,4
1880,the manuscript itself makes it difficult to assess,2,3,0.86271,The manuscript presents some challenges in making a thorough assessment.,4,0.45515,3
1069,please say in the main text that details in terms of architecture and so on are given in the appendix,5,5,0.83137,Could you kindly mention in the main text that the details regarding the architecture and related aspects are provided in the appendix?,5,0.70708,4
1263,if so would it be possible to plot the complete curves,3,3,0.95328,"If possible, could you please plot the complete curves?",5,0.83208,3
1235,i see that the female author prefers more pinkish color,1,2,0.63356,I notice that the female author seems to have a preference for pinkish colors.,2,0.54583,2
2163,some readers may mistakenly think that the embeddings are sota on sim lex since no stronger results are provided in the table,3,3,0.86326,"Some readers might understandably interpret that the embeddings are state-of-the-art on SimLex, as the table does not include stronger results.",4,0.56298,3
2013,the paper is accurate very well written apart from a small number of grammatical mistakes and contains appealing motivations to its key contributions,5,4,0.87746,"The paper is highly accurate and very well written, with only a few minor grammatical mistakes. Additionally, it offers compelling motivations for its key contributions.",4,0.78387,5
608,rev   the paper is generally well written the english is good rev   a proof reading by a mother tongue would improve readability,5,4,0.81787,"Reviewer: The paper is generally well-written, and the English is good. However, a proofreading by a native speaker could further enhance its readability.",4,0.70677,4
856,the orgnization and writing of the paper need to improve there are some grammar errors need to correct,4,3,0.95319,"The organization and writing of the paper could be improved, and there are a few grammatical errors that need correction.",3,0.63973,3
2433,thanks for your rivision responsepaper accepted,5,5,0.84935,Thank you for your revision. I am pleased to inform you that your paper has been accepted.,5,0.8443,3
1244,i think for a fair comparison with lstms and irnns a limited hyperparameter search should be performed separately on all three architectures at least for the addition task,2,3,0.59152,"I believe it would be more equitable to perform a dedicated hyperparameter search separately for each of the three architectures, including LSTMs and IRNNs, particularly when evaluating them on the addition task.",3,0.52414,4
2248,the paper presents a new method of rl and draws the connection to previous work very well i am not an expert in all of the presented methods which is why i cannot clearly asses the novelty of the presented approach the results are convincing,2,4,0.48388,"The paper presents a new method in reinforcement learning and effectively draws connections to previous work. As I am not an expert in all of the methods presented, I am unable to fully assess the novelty of the approach. However, the results are convincing.",4,0.51703,4
